candidate_id,source_doc_title,source_doc_hash,item_type
snap-043-003,Hyperloop,66128c6196c8cb54c43bf5e223d9a446cf5b8c9f14f09f1b25da6ea166571780,context_link
snap-044-000,Social media,4518908c2475208c363f76099cb47cfcc8530b1fa9d5e0ffb97d65c12a12c040,entity_card
snap-044-001,Social media,4518908c2475208c363f76099cb47cfcc8530b1fa9d5e0ffb97d65c12a12c040,context_link
snap-045-000,X Corp.,1c50c8f702b5bb729d87553e3c2cf694194449fa34c83932e527053f03b59472,entity_card
snap-045-001,X Corp.,1c50c8f702b5bb729d87553e3c2cf694194449fa34c83932e527053f03b59472,context_link
snap-045-002,X Corp.,1c50c8f702b5bb729d87553e3c2cf694194449fa34c83932e527053f03b59472,context_link
snap-045-003,X Corp.,1c50c8f702b5bb729d87553e3c2cf694194449fa34c83932e527053f03b59472,context_link
snap-045-004,X Corp.,1c50c8f702b5bb729d87553e3c2cf694194449fa34c83932e527053f03b59472,context_link
snap-045-005,X Corp.,1c50c8f702b5bb729d87553e3c2cf694194449fa34c83932e527053f03b59472,context_link
snap-046-000,X (social network),ac06a47c84e03065765f6dd2543c896716d07a5f64db5882f422d2ff214dd905,entity_card
snap-047-000,PayPal,c48f2f4c52df79f78e9031e99eb501883790ee0fb1066c8453d7ea388ef52282,entity_card
snap-047-001,PayPal,c48f2f4c52df79f78e9031e99eb501883790ee0fb1066c8453d7ea388ef52282,context_link
snap-047-002,PayPal,c48f2f4c52df79f78e9031e99eb501883790ee0fb1066c8453d7ea388ef52282,context_link
snap-047-003,PayPal,c48f2f4c52df79f78e9031e99eb501883790ee0fb1066c8453d7ea388ef52282,context_link
snap-048-000,Zip2,70cf7360b286b07359c1a353567adde249c80b05c31058c3f312f3975582a102,entity_card
snap-048-001,Zip2,70cf7360b286b07359c1a353567adde249c80b05c31058c3f312f3975582a102,context_link
snap-049-000,Space tourism,085d5f260cfb191d396f01910c4c48c60a5abd954de66f451c1f89a3e03ea716,entity_card
