title,normalized_title,source_url,retrieved_at,revision_id,raw_text_sha256,normalized_doc_path
Electric vehicle,Electric vehicle,https://en.wikipedia.org/wiki/Electric_vehicle,2026-06-15T07:15:49Z,1358039721,476b12c57c4e2146bcc1c41f95f56e94c2dd80d7836c137200831e606dc130fe,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Electric_vehicle.md
Battery electric vehicle,Battery electric vehicle,https://en.wikipedia.org/wiki/Battery_electric_vehicle,2026-06-15T07:15:50Z,1354471763,bab060e7d67c9e1d60e7d4a310b1190ff83179c8cab1a442b956856c27e38a12,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Battery_electric_vehicle.md
Lithium-ion battery,Lithium-ion battery,https://en.wikipedia.org/wiki/Lithium-ion_battery,2026-06-15T07:15:52Z,1358996234,800872094b7e3d7c4c5e0e4bf28b264fbf5c5aadae5e03b83bac88d17ceeae9c,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Lithium-ion_battery.md
Gigafactory,Gigafactory,https://en.wikipedia.org/wiki/Gigafactory,2026-06-15T07:15:53Z,1328371479,8e6a285b31da4376a3d726e82e7d047acc3c5e2c7095906b9731a305a84c44b5,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Gigafactory.md
Rocket,Rocket,https://en.wikipedia.org/wiki/Rocket,2026-06-15T07:15:54Z,1358166262,7d5a835dc7c8ab8e3118bde4072b1d838110f8b1fa21467c1bcff508035293c8,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Rocket.md
Reusable launch system,Reusable launch vehicle,https://en.wikipedia.org/wiki/Reusable_launch_vehicle,2026-06-15T07:15:55Z,1358658592,be57ef50f1e8bbe342f41ef15aba6fd8f0b9ddb5afad424d03d2dfe47c620485,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Reusable_launch_vehicle.md
Satellite internet,Satellite Internet access,https://en.wikipedia.org/wiki/Satellite_Internet_access,2026-06-15T07:15:57Z,1359385224,04cece53163c747a431cbf022935318daaab3215f62bcb11be9010ff27aa83fc,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Satellite_Internet_access.md
Spacecraft,Spacecraft,https://en.wikipedia.org/wiki/Spacecraft,2026-06-15T07:15:58Z,1358166960,74b7aa970779840c7399dffd6a3228d3b554acfdf18611f4624cc5493ef32a32,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Spacecraft.md
Clean energy,Sustainable energy,https://en.wikipedia.org/wiki/Sustainable_energy,2026-06-15T07:16:00Z,1357725919,83989647c115fa76be17a112181fc16b5ba44c3f32a6c2368d436dfa7b9a7371,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Sustainable_energy.md
Solar power,Solar power,https://en.wikipedia.org/wiki/Solar_power,2026-06-15T07:16:01Z,1358897905,65691875933dde4effcfef75b7f633a5d554706279cc16c424d37e0a7dab9414,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Solar_power.md
Net worth,Net worth,https://en.wikipedia.org/wiki/Net_worth,2026-06-15T07:16:02Z,1348943142,1cecd54c03c08779e0598922d3824ca636fb7f44e7bebf4df12f8000ee648eec,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Net_worth.md
Stock price,Share price,https://en.wikipedia.org/wiki/Share_price,2026-06-15T07:16:03Z,1284503899,0a783a1af3f47fe0f6cb9ee1af4d3c3bc312e1d53cef6ddaf8853b1285fa61be,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Share_price.md
Market capitalization,Market capitalization,https://en.wikipedia.org/wiki/Market_capitalization,2026-06-15T07:16:04Z,1359130591,9a5f7d2ed2a0086f536398f8a148dcdcc282ba31314775b478985f3aaccb1546,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Market_capitalization.md
Chief executive officer,Chief executive officer,https://en.wikipedia.org/wiki/Chief_executive_officer,2026-06-15T07:16:06Z,1355983461,2c22e66ae11072c276ff0f851e04e69b7a11d84d272958679a258029707533a0,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Chief_executive_officer.md
Subsidiary,Subsidiary,https://en.wikipedia.org/wiki/Subsidiary,2026-06-15T07:16:08Z,1356490738,52276221cc8b3b75377c7bf1181ab2693dd6046ab323142e4d1f8ee7c48939bc,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Subsidiary.md
Organization,Organization,https://en.wikipedia.org/wiki/Organization,2026-06-15T07:16:11Z,1349118881,832e3826d190d9feb68cb5d4000dd08eae628b3ac4f8de1688a4e78fd4a5dece,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Organization.md
Leadership,Leadership,https://en.wikipedia.org/wiki/Leadership,2026-06-15T07:16:12Z,1358866233,6bd74bc5c917ca193c1724e87339f61e220d7e0db4ae0634e6a432a48b2644b2,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Leadership.md
Business magnate,Business magnate,https://en.wikipedia.org/wiki/Business_magnate,2026-06-15T07:16:13Z,1358438703,03c6a4a97581b2eb3034b162e62005a446aa8ff6b155cb45551d0e33fdea6e07,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Business_magnate.md
Entrepreneurship,Entrepreneurship,https://en.wikipedia.org/wiki/Entrepreneurship,2026-06-15T07:16:14Z,1359289289,12302c52b3f66bf5d1082c4fbddd7c3a4e93559db61175883324efc8b11b51e0,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Entrepreneurship.md
Automotive industry,Automotive industry,https://en.wikipedia.org/wiki/Automotive_industry,2026-06-15T07:16:15Z,1355636928,6d24a9be4d87b30a4e25e5298eea27267d5adbfa189662a7ef9090f23e11d3c7,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Automotive_industry.md
Aerospace manufacturer,Aerospace manufacturer,https://en.wikipedia.org/wiki/Aerospace_manufacturer,2026-06-15T07:16:16Z,1342299878,4d2faea7623fa4c75c4f5d68c87ff37140e26de9ede2ce7e97ed59b9de7841fd,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Aerospace_manufacturer.md
