id,total_latency_ms,ttft_ms
obqa-110b3019ee1271d4-paraphrase-df4d70d6,512.576916,
obqa-736422969f88d33b-multi_evidence_implicit-021a12c8,1098.947250,
obqa-c9a94fef9fb67b45-multi_evidence_implicit-3e23fe12,813.137041,
obqa-51aa8b9bcbab1601-paraphrase-855f7d67,418.484750,
obqa-1bcd7379e4e4eea5-paraphrase-5682507f,504.408458,
obqa-915462fb9210c2ac-paraphrase-4825fb90,465.331125,
obqa-0f34e6b6464698ed-multi_evidence_explicit-e739c33d,719.039250,
obqa-d2b5c74bd4ac0220-multi_evidence_explicit-e4b0b778,729.266292,
obqa-4aae931bee91a991-paraphrase-97705439,329.636500,
obqa-51aa8b9bcbab1601-paraphrase-855f7d67,273.729458,
obqa-a6a1f16d0258e0cb-paraphrase-d41da84f,251.871834,
obqa-e8a5858c1fa0e6f9-multi_evidence_explicit-6606c6a6,360.504667,
obqa-915462fb9210c2ac-paraphrase-4825fb90,241.397625,
obqa-a690b8cf8c600c43-paraphrase-b655f620,430.668792,
obqa-a8f792d2fb8fac86-paraphrase-5726baa5,356.867500,
obqa-4d4220f2c3e235d6-multi_evidence_implicit-db829f09,780.464708,
obqa-51aa8b9bcbab1601-paraphrase-855f7d67,303.434208,
obqa-ade8e9fd565548ea-multi_evidence_implicit-5450e428,482.780125,
