id,total_latency_ms,ttft_ms
obqa-8fca1cf4cceb6092-negative-a082a1a6,635.045167,
obqa-4d037a4774036b80-multi_evidence-ae8490a4,2087.110500,
obqa-9f23e34a6f76ace6-paraphrase-5c661dcb,591.476125,
obqa-30ed09729577410c-direct-efd6c62a,758.009584,
obqa-9b0aceb2dd82360f-paraphrase-d76802fb,414.719625,
obqa-640100d1d41af60f-paraphrase-71179b7a,511.592250,
obqa-5289aee5dbaa20d5-paraphrase-fdeaf767,445.303458,
obqa-4d037a4774036b80-multi_evidence-ae8490a4,1287.931291,
obqa-d6e4895d2c418675-direct-b7f9ff53,449.018333,
obqa-dd6f801cd8969587-direct-4c9eb9f2,396.522500,
obqa-151fd81086caef59-direct-ff51c21f,503.121625,
obqa-607fcbb254608b94-multi_evidence-25c5e533,1234.700375,
obqa-ef36991298a44437-direct-0d50da7c,389.691291,
obqa-ea3e00e31ea5ed99-multi_evidence-e80f90bb,549.028125,
obqa-ab941d7fc310d3fc-direct-bd022078,383.946541,
obqa-826080d84c42d0c5-multi_evidence-7aa04140,2705.045291,
obqa-26d2ad25e2c7794d-multi_evidence-33582d6b,1019.172875,
obqa-607fcbb254608b94-paraphrase-aded8701,493.191250,
obqa-a13238548099e987-negative-6a3aeb38,430.882250,
obqa-145b09320ed8b531-direct-516ec11d,390.108167,
obqa-9be88cdf4e790b52-negative-cf2eb02d,582.074708,
obqa-a6f27b9d9cb19379-paraphrase-c4932ace,358.415750,
obqa-ebf45071ef67ccef-negative-b77e881d,339.521291,
obqa-30ed09729577410c-direct-efd6c62a,553.891166,
obqa-29bb8e81107ecb3d-negative-56292334,672.394500,
obqa-3edcdd67e6240b32-paraphrase-e415da8c,496.265042,
obqa-75732b64423dab26-direct-7c7ba8ab,570.960167,
obqa-a13238548099e987-direct-74095566,441.209083,
obqa-f8fcc1f6cc259003-direct-05c6c917,488.990042,
obqa-48d9bd7b07e92111-paraphrase-afaf6c17,388.557625,
obqa-8c75be264d4fe7af-direct-f2ee221a,558.124459,
obqa-0ef8f600f52f06ab-paraphrase-b22e59c0,582.496625,
obqa-fa95768ca1a671a9-direct-c9a7abfd,416.092958,
obqa-375cf44c18ff5bb6-multi_evidence-08ef71b1,4430.799041,
obqa-2bab9f259fd15e15-multi_evidence-b975271c,1244.305625,
obqa-a71c5521e395abcf-paraphrase-59ff70e7,688.629541,
obqa-ab941d7fc310d3fc-multi_evidence-8b3cca5e,951.538084,
