source_page,ingestion_candidate_count,relation_candidate_count,safe_delta_count,weak_context_count,entity_count,answerable_before_precision_count,precision_accepted_count,precision_rejected_count,precision_quarantined_count,property_candidate_count,final_fact_count
Larry Page,7,0,7,6,1,1,1,0,0,0,0
List of government space agencies,7,0,7,6,1,1,1,0,0,0,0
Lotus Esprit,7,0,8,6,1,2,2,0,0,0,1
Louis Vuitton,7,0,7,6,1,1,1,0,0,0,0
Mercedes-Benz Group,7,0,8,6,1,2,1,1,0,0,0
Nasdaq Composite,7,0,7,5,1,2,2,0,0,0,1
National Historic Landmark,7,0,7,6,1,1,1,0,0,0,0
New York City,7,0,7,6,1,1,1,0,0,0,0
New York Stock Exchange Building,7,0,7,6,1,1,1,0,0,0,0
North America,7,0,7,6,1,1,1,0,0,0,0
Peter Thiel,7,0,8,6,1,2,2,0,0,0,1
Phiroze Jeejeebhoy Towers,7,0,7,6,1,1,1,0,0,0,0
Princeton University,7,0,8,6,1,2,2,0,0,0,1
Research institute,7,0,7,6,1,1,1,0,0,0,0
Roots Blower Company,7,0,9,6,1,3,2,1,0,0,1
Software,7,0,7,6,1,1,1,0,0,0,0
Solar panel,7,1,8,6,1,2,1,1,0,0,0
Super Tuesday,7,0,7,6,1,1,1,0,0,0,0
Tableau Software,7,0,7,6,1,1,1,0,0,0,0
Titan (rocket family),7,0,7,6,1,1,1,0,0,0,0
US Airways,7,0,7,6,1,1,1,0,0,0,0
University,7,0,7,6,1,1,1,0,0,0,0
Wojciech Zaremba,7,0,8,6,1,2,2,0,0,0,1
Yellow pages,7,0,7,6,1,1,1,0,0,0,0
York City F.C.,7,0,7,6,1,1,1,0,0,0,0
Abe Fortas,6,0,6,4,1,2,2,0,0,0,1
Amazon Kindle,6,0,7,5,1,1,1,0,0,0,0
Amazon basin,6,0,6,5,1,1,1,0,0,0,0
Amdahl Corporation,6,0,7,5,1,2,2,0,0,0,1
Andrew Carnegie,6,0,6,5,1,1,1,0,0,0,0
Arthur Ransome,6,0,7,4,1,3,2,1,0,0,1
Aston Martin,6,0,9,5,1,2,2,0,0,0,1
BYD M3,6,0,6,5,1,1,1,0,0,0,0
Baidu Tieba,6,0,6,5,1,1,1,0,0,0,0
Bankers Trust,6,0,7,5,1,2,2,0,0,0,1
Battery energy storage system,6,0,6,5,1,1,1,0,0,0,0
Bernie Ecclestone,6,0,6,5,1,1,1,0,0,0,0
Businessperson,6,0,5,5,0,0,0,0,0,0,0
Buttonwood Agreement,6,0,7,5,1,2,2,0,0,0,1
CBS News,6,2,9,5,1,3,2,1,0,0,1
Canada,6,0,7,5,1,2,2,0,0,0,1
Canadian International Council,6,0,6,5,1,1,1,0,0,0,0
Caterham Cars,6,0,6,5,1,1,1,0,0,0,0
Chief justice,6,0,6,5,1,1,1,0,0,0,0
Christian Dior,6,0,6,5,1,1,1,0,0,0,0
Christian Lacroix,6,0,6,5,1,1,1,0,0,0,0
Commercial Orbital Transportation Services,6,0,7,5,1,2,2,0,0,0,1
Daniel L. Doctoroff,6,0,6,5,1,1,1,0,0,0,0
